utility_bill_payment,service_deposit_required,debt_collection_history,savings_account,employment_tenure,additional_income,housing_status,eviction_history,community_savings_group,mobile_money_account,credit_score
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,No,"Yes, rarely used",806
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,No,"Yes, actively used",788
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",756
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",659
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",694
Frequently late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",709
Never paid,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",495
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",685
Always on time,No,No,No,Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",767
Always on time,No,No,No,Over 3 years,"Yes, regularly",Live with family/friends,No,"Yes, active member",No,752
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",6 months to 1 year,"Yes, regularly",Live with family/friends,No,"Yes, active member","Yes, rarely used",666
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,"Yes, once",No,"Yes, actively used",752
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,No,756
Frequently late,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",614
Always on time,"Yes, but refunded","Yes, once",No,Less than 6 months,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",659
Always on time,No,No,No,1 to 3 years,"Yes, regularly",Own,"Yes, once","Yes, inactive member","Yes, actively used",750
Always on time,No,No,No,6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",722
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",696
Occasionally late,No,No,No,1 to 3 years,No,Own,No,No,"Yes, actively used",712
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",739
Always on time,No,No,No,Less than 6 months,No,Rent,"Yes, once",No,"Yes, actively used",663
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,"Yes, once",No,"Yes, rarely used",661
Always on time,"Yes, not refunded",No,No,6 months to 1 year,No,Own,No,No,"Yes, rarely used",657
Frequently late,No,No,No,Less than 6 months,No,Own,No,No,"Yes, actively used",616
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",740
Always on time,No,"Yes, more than once",No,Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",613
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",649
Occasionally late,No,No,No,Less than 6 months,"Yes, occasionally",Rent,"Yes, once",No,"Yes, rarely used",616
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Live with family/friends,No,No,"Yes, actively used",698
Frequently late,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",657
Always on time,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, rarely used",787
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",790
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, rarely used",771
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,No,"Yes, rarely used",784
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,No,"Yes, inactive member","Yes, actively used",775
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",729
Occasionally late,No,No,No,Less than 6 months,"Yes, regularly",Own,"Yes, more than once",No,"Yes, actively used",631
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,No,727
Never paid,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, rarely used",598
Always on time,No,No,"Yes, but limited",Over 3 years,No,Own,No,No,No,771
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",724
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",720
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once","Yes, inactive member","Yes, actively used",666
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",723
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",738
Frequently late,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,"Yes, more than once","Yes, inactive member","Yes, rarely used",546
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,No,696
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",742
Frequently late,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Live with family/friends,No,"Yes, inactive member","Yes, actively used",567
Always on time,"Yes, not refunded",No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, actively used",717
Occasionally late,"Yes, not refunded",No,No,1 to 3 years,No,Live with family/friends,No,No,"Yes, rarely used",571
Always on time,"Yes, not refunded",No,No,Over 3 years,"Yes, occasionally",Own,"Yes, once","Yes, active member",No,671
Occasionally late,No,No,"Yes, but limited",Less than 6 months,No,Rent,"Yes, once","Yes, inactive member","Yes, actively used",616
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",741
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, active member","Yes, rarely used",790
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, regularly",Own,No,"Yes, inactive member",No,776
Frequently late,No,No,No,6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",647
Always on time,No,"Yes, once",No,Less than 6 months,No,Own,No,No,"Yes, rarely used",650
Always on time,No,No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",847
Occasionally late,No,"Yes, more than once","Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, actively used",582
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Live with family/friends,"Yes, once",No,"Yes, rarely used",572
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",755
Never paid,No,"Yes, once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, rarely used",570
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, actively used",771
Always on time,"Yes, not refunded",No,No,1 to 3 years,No,Live with family/friends,No,"Yes, active member","Yes, actively used",638
Occasionally late,No,No,No,1 to 3 years,No,Own,No,No,"Yes, rarely used",689
Occasionally late,No,"Yes, once","Yes, sufficient",Over 3 years,No,Rent,No,No,"Yes, rarely used",679
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,No,Live with family/friends,"Yes, more than once",No,"Yes, actively used",618
Always on time,"Yes, but refunded",No,No,Less than 6 months,No,Rent,No,"Yes, active member","Yes, actively used",670
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",743
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",807
Always on time,No,"Yes, more than once","Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",687
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",754
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",625
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,"Yes, once","Yes, inactive member","Yes, actively used",688
Always on time,No,"Yes, once",No,1 to 3 years,No,Own,No,No,"Yes, rarely used",677
Occasionally late,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,"Yes, more than once",No,"Yes, rarely used",562
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",727
Always on time,No,No,No,Over 3 years,No,Live with family/friends,No,No,"Yes, actively used",756
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",699
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,"Yes, inactive member",No,743
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,No,Own,No,"Yes, active member","Yes, rarely used",747
Always on time,No,"Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, rarely used",705
Always on time,"Yes, not refunded","Yes, once",No,Less than 6 months,No,Own,No,No,"Yes, actively used",592
Always on time,No,No,No,Less than 6 months,No,Own,No,No,"Yes, actively used",706
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",675
Occasionally late,No,No,No,1 to 3 years,No,Rent,No,"Yes, active member","Yes, actively used",716
Occasionally late,"Yes, not refunded","Yes, once","Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",541
Always on time,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,No,"Yes, actively used",746
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, actively used",762
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, actively used",817
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,No,No,"Yes, rarely used",729
Always on time,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,No,"Yes, actively used",729
Always on time,No,No,"Yes, sufficient",1 to 3 years,"Yes, regularly",Rent,No,No,No,743
Never paid,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,No,"Yes, active member","Yes, rarely used",643
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Rent,No,No,"Yes, actively used",726
Always on time,No,"Yes, once",No,6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member","Yes, rarely used",714
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Own,No,"Yes, active member",No,781
Always on time,No,"Yes, more than once",No,1 to 3 years,"Yes, regularly",Own,No,No,"Yes, actively used",661
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Live with family/friends,No,"Yes, inactive member","Yes, actively used",705
Occasionally late,"Yes, but refunded",No,No,Over 3 years,No,Own,No,No,"Yes, actively used",671
Frequently late,"Yes, but refunded",No,"Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, actively used",615
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",641
Occasionally late,"Yes, but refunded","Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, regularly",Live with family/friends,"Yes, more than once",No,"Yes, actively used",496
Always on time,No,No,"Yes, but limited",Over 3 years,No,Rent,No,"Yes, inactive member","Yes, rarely used",742
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Live with family/friends,No,No,"Yes, rarely used",668
Always on time,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,No,No,731
Always on time,"Yes, but refunded","Yes, once",No,6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",652
Always on time,No,No,No,1 to 3 years,No,Own,No,No,"Yes, rarely used",754
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",743
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, actively used",712
Occasionally late,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, actively used",627
Occasionally late,No,No,No,Less than 6 months,"Yes, occasionally",Own,No,No,"Yes, actively used",658
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Own,No,No,No,725
Occasionally late,"Yes, but refunded","Yes, once","Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member",No,621
Always on time,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, rarely used",697
Frequently late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",642
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once",No,"Yes, rarely used",608
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",777
Occasionally late,No,No,No,Less than 6 months,"Yes, occasionally",Own,"Yes, once","Yes, active member","Yes, rarely used",651
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member",No,758
Always on time,No,"Yes, more than once","Yes, but limited",Over 3 years,No,Rent,"Yes, more than once",No,No,591
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",712
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, occasionally",Own,No,No,No,692
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,No,"Yes, actively used",693
Always on time,No,No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member",No,762
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Rent,No,No,"Yes, actively used",736
Always on time,"Yes, not refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",653
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Own,"Yes, once",No,"Yes, actively used",711
Frequently late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",683
Occasionally late,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",688
Occasionally late,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",652
Always on time,"Yes, but refunded",No,No,6 months to 1 year,"Yes, regularly",Own,No,"Yes, active member","Yes, actively used",738
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",805
Always on time,"Yes, not refunded","Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",608
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",762
Occasionally late,No,No,No,6 months to 1 year,No,Own,No,"Yes, active member","Yes, rarely used",706
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",774
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Rent,"Yes, more than once",No,"Yes, actively used",623
Always on time,"Yes, not refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, actively used",601
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,"Yes, regularly",Rent,"Yes, more than once","Yes, inactive member","Yes, actively used",713
Always on time,"Yes, not refunded","Yes, once","Yes, sufficient",1 to 3 years,"Yes, regularly",Live with family/friends,"Yes, once",No,"Yes, actively used",616
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Own,"Yes, once",No,"Yes, actively used",678
Occasionally late,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Own,No,No,"Yes, actively used",625
Frequently late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, inactive member","Yes, rarely used",674
Always on time,"Yes, but refunded","Yes, once","Yes, sufficient",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",667
Never paid,No,"Yes, once",No,Over 3 years,"Yes, regularly",Own,No,"Yes, inactive member","Yes, actively used",627
Always on time,No,"Yes, once","Yes, sufficient",Over 3 years,"Yes, regularly",Rent,No,No,"Yes, actively used",758
Always on time,"Yes, but refunded",No,No,Over 3 years,No,Own,No,"Yes, active member","Yes, actively used",733
Never paid,"Yes, not refunded","Yes, once","Yes, sufficient",Less than 6 months,"Yes, regularly",Rent,"Yes, once",No,"Yes, actively used",452
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,"Yes, more than once","Yes, active member","Yes, actively used",688
Occasionally late,No,No,"Yes, but limited",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",735
Always on time,No,"Yes, once",No,1 to 3 years,No,Own,No,No,"Yes, rarely used",675
Always on time,No,No,No,6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",731
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",647
Always on time,"Yes, not refunded","Yes, once",No,1 to 3 years,No,Rent,"Yes, once",No,"Yes, actively used",553
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",656
Always on time,No,No,No,6 months to 1 year,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",759
Occasionally late,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",677
Always on time,No,No,No,1 to 3 years,No,Rent,No,No,"Yes, actively used",739
Always on time,No,No,"Yes, sufficient",1 to 3 years,No,Rent,No,"Yes, active member","Yes, rarely used",809
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",695
Always on time,"Yes, but refunded","Yes, more than once","Yes, sufficient",1 to 3 years,No,Rent,No,No,No,596
Frequently late,No,"Yes, more than once","Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, rarely used",542
Always on time,"Yes, but refunded",No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,"Yes, once","Yes, active member","Yes, actively used",729
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Live with family/friends,No,No,"Yes, rarely used",747
Always on time,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",735
Always on time,No,"Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",751
Occasionally late,No,"Yes, once","Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, actively used",610
Never paid,No,No,"Yes, sufficient",6 months to 1 year,"Yes, occasionally",Own,No,No,"Yes, actively used",666
Always on time,No,"Yes, once",No,Less than 6 months,No,Own,No,No,"Yes, rarely used",632
Frequently late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,No,No,665
Always on time,No,No,No,Over 3 years,No,Own,No,No,"Yes, actively used",740
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",741
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, rarely used",713
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",812
Occasionally late,No,No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, rarely used",731
Frequently late,No,No,"Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, inactive member","Yes, actively used",681
Always on time,"Yes, but refunded",No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,No,720
Frequently late,No,No,No,6 months to 1 year,No,Rent,No,"Yes, inactive member","Yes, actively used",650
Occasionally late,No,No,No,Less than 6 months,No,Rent,No,No,"Yes, actively used",598
Always on time,No,"Yes, more than once","Yes, sufficient",6 months to 1 year,No,Own,No,"Yes, active member","Yes, actively used",690
Occasionally late,No,"Yes, once","Yes, but limited",Less than 6 months,"Yes, regularly",Own,No,No,"Yes, actively used",625
Always on time,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",753
Never paid,No,"Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",582
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,"Yes, regularly",Rent,No,No,"Yes, rarely used",680
Always on time,"Yes, but refunded",No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",733
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",765
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,"Yes, active member","Yes, rarely used",765
Always on time,"Yes, but refunded",No,"Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",719
Always on time,"Yes, but refunded",No,No,Less than 6 months,"Yes, occasionally",Rent,"Yes, once","Yes, inactive member","Yes, actively used",647
Always on time,No,"Yes, once",No,1 to 3 years,"Yes, occasionally",Rent,No,"Yes, active member",No,680
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",829
Always on time,"Yes, but refunded",No,"Yes, sufficient",Less than 6 months,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",748
Always on time,No,"Yes, more than once","Yes, but limited",1 to 3 years,No,Rent,No,No,"Yes, rarely used",639
Always on time,No,No,No,6 months to 1 year,No,Own,No,No,"Yes, rarely used",728
Occasionally late,No,No,No,Less than 6 months,No,Rent,No,No,No,604
Always on time,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Live with family/friends,No,No,"Yes, actively used",780
Always on time,No,No,"Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, actively used",778
Always on time,No,No,No,6 months to 1 year,No,Rent,"Yes, once",No,"Yes, rarely used",659
Always on time,"Yes, but refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",804
Always on time,No,No,No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",718
Always on time,No,"Yes, once","Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,"Yes, inactive member","Yes, actively used",704
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",771
Occasionally late,"Yes, but refunded",No,"Yes, but limited",Over 3 years,No,Own,No,No,"Yes, actively used",676
Occasionally late,No,No,"Yes, but limited",Less than 6 months,"Yes, occasionally",Rent,No,No,"Yes, rarely used",654
Occasionally late,No,"Yes, once","Yes, sufficient",Less than 6 months,No,Own,No,"Yes, inactive member","Yes, rarely used",644
Occasionally late,No,No,No,Over 3 years,"Yes, occasionally",Rent,No,"Yes, active member","Yes, actively used",723
Occasionally late,No,No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",752
Always on time,"Yes, not refunded",No,"Yes, sufficient",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",750
Occasionally late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,"Yes, once",No,"Yes, rarely used",637
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",722
Occasionally late,"Yes, but refunded",No,"Yes, sufficient",1 to 3 years,No,Rent,No,No,"Yes, actively used",690
Occasionally late,No,"Yes, more than once","Yes, but limited",Over 3 years,No,Rent,No,"Yes, active member","Yes, actively used",645
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,No,Rent,No,No,"Yes, actively used",654
Always on time,No,"Yes, once","Yes, but limited",Less than 6 months,No,Own,No,No,"Yes, actively used",667
Always on time,No,No,No,1 to 3 years,No,Own,No,No,"Yes, actively used",747
Occasionally late,No,No,"Yes, sufficient",Less than 6 months,No,Own,No,"Yes, active member","Yes, rarely used",713
Occasionally late,No,No,No,1 to 3 years,"Yes, regularly",Rent,"Yes, once","Yes, active member","Yes, actively used",689
Frequently late,No,No,No,Over 3 years,No,Own,No,No,"Yes, actively used",654
Always on time,No,No,"Yes, but limited",Over 3 years,"Yes, occasionally",Rent,"Yes, once",No,"Yes, actively used",727
Occasionally late,No,No,No,6 months to 1 year,No,Rent,No,"Yes, active member","Yes, actively used",682
Always on time,"Yes, but refunded",No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",711
Frequently late,"Yes, but refunded","Yes, once",No,1 to 3 years,"Yes, regularly",Rent,No,"Yes, active member","Yes, actively used",581
Always on time,No,No,"Yes, but limited",Less than 6 months,No,Live with family/friends,No,No,"Yes, actively used",708
Always on time,"Yes, not refunded",No,No,1 to 3 years,"Yes, occasionally",Own,No,"Yes, inactive member","Yes, rarely used",678
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Own,No,No,"Yes, rarely used",728
Occasionally late,No,"Yes, once",No,6 months to 1 year,"Yes, occasionally",Rent,No,No,"Yes, actively used",613
Never paid,No,No,"Yes, sufficient",1 to 3 years,No,Own,No,"Yes, active member","Yes, actively used",669
Always on time,No,No,"Yes, but limited",Less than 6 months,"Yes, regularly",Rent,"Yes, once",No,"Yes, rarely used",691
Always on time,No,"Yes, once","Yes, but limited",Over 3 years,"Yes, occasionally",Live with family/friends,No,No,"Yes, rarely used",660
Frequently late,No,No,"Yes, but limited",6 months to 1 year,No,Rent,No,No,"Yes, rarely used",633
Always on time,No,"Yes, once",No,1 to 3 years,No,Rent,No,"Yes, inactive member","Yes, actively used",664
Occasionally late,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",693
Always on time,"Yes, not refunded",No,"Yes, sufficient",1 to 3 years,"Yes, occasionally",Rent,No,No,No,697
Always on time,No,No,"Yes, sufficient",6 months to 1 year,No,Own,No,No,No,746
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,No,694
Occasionally late,"Yes, but refunded","Yes, more than once","Yes, but limited",1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, rarely used",566
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,"Yes, more than once",No,"Yes, rarely used",693
Always on time,No,No,No,1 to 3 years,"Yes, occasionally",Rent,No,No,"Yes, actively used",745
Occasionally late,No,No,No,Less than 6 months,No,Own,No,"Yes, inactive member","Yes, actively used",645
Always on time,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,No,Own,No,No,"Yes, rarely used",669
Frequently late,"Yes, but refunded","Yes, once","Yes, but limited",1 to 3 years,"Yes, occasionally",Own,No,"Yes, active member","Yes, rarely used",629
Always on time,No,No,"Yes, but limited",6 months to 1 year,"Yes, occasionally",Rent,"Yes, once","Yes, active member","Yes, actively used",730
Always on time,No,"Yes, more than once","Yes, but limited",6 months to 1 year,"Yes, occasionally",Own,No,"Yes, active member",No,682
Frequently late,No,No,No,Less than 6 months,No,Own,No,No,"Yes, actively used",633
Occasionally late,No,No,"Yes, but limited",1 to 3 years,"Yes, regularly",Rent,No,"Yes, inactive member","Yes, actively used",712
Always on time,"Yes, not refunded",No,"Yes, but limited",Less than 6 months,No,Rent,No,"Yes, inactive member","Yes, actively used",661
